filepath,label,contrast,dissimilarity,homogeneity,energy,correlation,ASM,red_mean,red_std,red_var,green_mean,green_std,green_var,blue_mean,blue_std,blue_var,gray_mean,gray_std,gray_var
C:\dataset\data_train\Berawan\Terang (1).png,Berawan,41.07503355704698,4.693646532438479,0.21590594686941494,0.024055386545405285,0.9669232298617724,0.0005786616218488656,74.24008888888889,25.77500170477177,664.3507128809878,92.70551111111111,24.93786297234898,621.8970096276544,122.64315555555555,23.478432557898802,551.2367953758026,90.58537777777778,24.953953139767822,622.6997773017284
C:\dataset\data_train\Berawan\Terang (10).png,Berawan,43.95346756152125,4.65082774049217,0.23756711811160336,0.022947699231939088,0.9802096549299002,0.0005265969000395377,148.02044444444445,41.782898466321285,1745.8106042469135,182.3128888888889,32.8580632838491,1079.6523227654322,234.9856888888889,15.66260286559779,245.3171285254321,178.0560888888889,33.361711397496926,1113.0037873698764
C:\dataset\data_train\Berawan\Terang (100).png,Berawan,73.27753914988816,6.379194630872483,0.16039441019462708,0.017683569683412184,0.9706276422392083,0.0003127086367480945,130.70826666666667,40.183034044177845,1614.676224995556,157.71795555555556,34.90792596783433,1218.5632953758025,184.1444,26.049083451054475,678.5547486400001,152.64173333333332,35.427051191238974,1255.0759561066668
C:\dataset\data_train\Berawan\Terang (101).png,Berawan,92.04568232662193,7.0118568232662195,0.1646366168559365,0.021529901939559278,0.9417623810184618,0.00046353667752703834,144.9468,37.80327400259871,1429.0875253155555,184.674,26.611417591368976,708.1675462222222,226.05391111111112,14.57991252194794,212.57384914765433,177.50004444444446,28.163539076816285,793.1849333313579
C:\dataset\data_train\Berawan\Terang (102).png,Berawan,57.64049217002238,5.414093959731543,0.20748578873652157,0.02295230057613308,0.977059066372976,0.000526808101737159,98.14253333333333,39.49580450045014,1559.9185731377777,129.75644444444444,35.271883240876505,1244.1057473580247,164.23746666666668,27.0252361203376,730.36338736,124.21542222222222,35.55069297557996,1263.8517710439507
C:\dataset\data_train\Berawan\Terang (103).png,Berawan,18.04447427293065,2.9251006711409393,0.33304728678719075,0.04479061196242545,0.9564456576280008,0.00200619891996857,150.3164,19.403565019976213,376.49833548444445,179.508,13.282074068290521,176.41349155555554,218.6876,8.271582249283789,68.41907290666667,175.22155555555557,14.437011918530875,208.4273131358025
C:\dataset\data_train\Berawan\Terang (104).png,Berawan,22.02979865771812,3.3979418344519017,0.2801439607538469,0.03457602788244251,0.9589931856127444,0.0011955017041274418,128.52942222222222,23.446553428300987,549.7408676661728,167.5704888888889,14.570928750422071,212.31196464987653,213.71408888888888,8.64982911538905,74.8195437254321,161.14888888888888,16.420046315027687,269.6179209876543
C:\dataset\data_train\Berawan\Terang (105).png,Berawan,21.94420581655481,3.3909172259507834,0.2805099145805397,0.03458986293670692,0.9591913812370677,0.0011964586179801712,128.40413333333333,23.463310570240413,550.5269429155555,167.4884,14.573272296913963,212.38026543999996,213.6832,8.637653615549898,74.60905998222222,161.0596,16.425144783938233,269.78538117333335
C:\dataset\data_train\Berawan\Terang (106).png,Berawan,16.63046979865772,2.9977181208053696,0.30082437748279633,0.03900439568116319,0.9591395515320142,0.0015213428824527421,113.52293333333333,20.689517653364685,428.0561407288889,157.6078222222222,12.568089085349607,157.95686325728394,209.5384,7.708321109611929,59.41821432888889,150.3419111111111,14.299172746580243,204.4663412365432
C:\dataset\data_train\Berawan\Terang (107).png,Berawan,43.87073825503356,5.083982102908277,0.18963179561636562,0.021941667487166333,0.9713200199557714,0.00048143677211737217,108.98924444444444,31.297143211592232,979.5111732069137,150.21044444444445,27.734537269986077,769.2045575802468,211.76284444444445,18.308937147324837,335.21717946469136,144.90484444444445,27.685440435126072,766.4836120869137
